Date,T2M,RH2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2013-1,8.5,65.0,22.71,0.91,0.0,3.73
2013-2,8.97,64.0,21.59,0.83,0.0,4.61
2013-3,11.73,74.06,24.6,0.02,5.27,5.01
2013-4,15.22,62.44,30.55,0.22,0.0,6.75
2013-5,16.55,59.5,31.95,5.0,0.0,7.24
2013-6,23.35,43.56,39.92,8.69,0.0,8.3
2013-7,28.25,30.5,42.65,16.55,0.0,7.82
2013-8,29.5,27.25,41.69,16.67,0.0,7.07
2013-9,22.33,51.0,35.42,13.25,0.0,5.75
2013-10,20.18,44.44,32.99,8.44,0.0,4.87
2013-11,13.29,53.69,29.09,0.32,0.0,3.8
2013-12,9.15,58.62,20.2,0.76,0.0,3.27
2014-1,8.72,64.81,22.07,0.76,5.27,3.16
2014-2,9.21,66.06,21.62,0.33,0.0,4.59
2014-3,11.93,59.88,26.49,1.76,0.0,5.47
2014-4,17.19,54.81,30.07,3.41,0.0,6.81
2014-5,21.19,47.0,37.41,7.52,0.0,7.47
2014-6,22.96,42.0,38.29,10.68,0.0,7.84
2014-7,27.17,31.69,41.0,12.31,0.0,7.97
2014-8,28.73,30.19,42.05,14.97,0.0,7.23
2014-9,23.14,47.62,38.15,12.74,0.0,5.65
2014-10,20.23,45.5,32.48,9.26,0.0,4.78
2014-11,12.44,72.62,24.55,2.91,5.27,3.08
2014-12,8.83,71.12,20.15,2.29,0.0,3.24
2015-1,7.77,68.62,20.24,-0.1,0.0,3.31
2015-2,7.23,73.12,20.51,1.69,0.0,4.38
2015-3,12.26,64.81,28.31,1.69,0.0,5.57
2015-4,17.2,59.56,28.61,7.8,0.0,6.39
2015-5,22.15,46.06,37.02,10.64,0.0,7.18
2015-6,23.77,43.69,39.64,10.28,0.0,7.7
2015-7,29.7,33.25,41.51,17.86,0.0,7.39
2015-8,27.88,37.38,41.63,14.75,0.0,6.52
2015-9,22.98,44.62,35.93,13.3,0.0,5.86
2015-10,18.53,58.75,32.91,10.06,0.0,4.59
2015-11,13.69,49.19,28.33,1.01,0.0,3.93
2015-12,13.14,39.75,23.87,4.69,0.0,3.25
2016-1,11.71,49.69,23.2,2.06,0.0,3.59
2016-2,10.1,54.12,24.06,-2.37,0.0,4.39
2016-3,11.05,54.81,27.18,0.12,0.0,5.82
2016-4,15.06,56.69,28.79,2.1,0.0,6.83
2016-5,19.06,54.44,35.18,6.8,0.0,6.74
2016-6,24.8,37.94,39.24,10.73,0.0,8.22
2016-7,30.68,28.62,42.69,16.52,0.0,7.57
2016-8,30.52,27.44,42.09,20.44,0.0,6.93
2016-9,24.84,37.75,40.05,12.01,0.0,5.76
2016-10,20.45,47.69,32.83,10.51,0.0,4.63
2016-11,12.29,60.0,26.41,2.26,5.27,3.47
2016-12,9.4,66.38,22.05,0.08,5.27,3.14
2017-1,7.42,61.19,19.55,-2.96,0.0,3.59
2017-2,10.38,64.69,22.01,1.73,5.27,4.27
2017-3,12.73,59.31,27.58,0.45,0.0,5.77
2017-4,18.98,51.56,32.55,9.13,0.0,6.55
2017-5,22.27,47.0,36.76,9.41,0.0,7.17
2017-6,27.92,32.25,41.26,11.9,0.0,7.63
2017-7,29.72,22.69,42.73,13.45,0.0,7.81
2017-8,29.59,30.25,42.35,14.4,0.0,6.58
2017-9,25.14,28.25,37.55,12.64,0.0,6.3
2017-10,22.2,34.75,33.47,12.52,0.0,4.88
2017-11,15.56,28.94,28.41,4.98,0.0,3.97
2017-12,8.79,52.62,21.62,0.51,0.0,3.49
2018-1,8.11,62.62,23.33,-1.09,5.27,3.26
2018-2,7.73,66.06,22.72,-2.97,5.27,4.27
2018-3,10.65,75.19,24.25,-0.75,5.27,5.11
2018-4,13.66,68.81,28.34,3.65,0.0,5.73
2018-5,15.96,67.94,27.48,2.98,0.0,6.58
2018-6,20.74,59.69,34.77,9.86,0.0,7.97
2018-7,27.58,36.62,40.04,13.93,0.0,7.63
2018-8,28.72,32.88,41.94,17.39,0.0,7.12
2018-9,23.85,50.62,37.97,14.41,0.0,5.61
2018-10,17.08,62.69,30.47,3.76,5.27,4.27
2018-11,11.66,71.88,23.83,4.5,0.0,3.48
2018-12,12.51,51.81,23.95,2.37,0.0,3.63
2019-1,8.3,58.0,19.56,0.08,0.0,3.86
2019-2,11.39,47.56,24.68,-1.54,0.0,4.88
2019-3,14.24,51.31,26.87,1.73,0.0,5.58
2019-4,14.08,62.12,30.65,1.33,0.0,6.23
2019-5,22.32,41.31,36.2,9.79,0.0,7.89
2019-6,23.18,39.62,37.76,10.23,0.0,8.41
2019-7,27.55,32.69,40.37,14.57,0.0,7.87
2019-8,29.48,30.06,41.83,19.4,0.0,7.02
2019-9,25.1,35.19,37.8,12.96,0.0,6.21
2019-10,19.91,40.5,36.22,6.47,0.0,5.04
2019-11,12.39,60.31,25.46,1.73,0.0,3.66
2019-12,11.6,58.56,24.94,1.27,0.0,3.25
