Date;T2M(°C);PRECTOTCORR(mm);Humidité;ALLSKY_SFC_SW_DWN;production(T)*10000
2013;22.9325;1.6025;52.83833333;5.685;105
2014;22.09692308;1.684545455;52.775;5.6075;120
2015;22.83666667;1.6775;51.56666667;5.505833333;130
2016;22.40833333;1.844166667;47.96416667;5.590833333;118
2017;23.83333333;1.491666667;42.79166667;"5.6675	1250";125
2018;20.91333333;3.289166667;58.90083333;5.388333333;950
2019;22.81583333;1.576666667;46.43583333;5.825;110
2020;24.4075;1.375833333;47.64727273;5.506153846;135
2021;18.3133;1.18166;50.9433;5.5733333;120
2022;19.5825;1.1008333;45.8975;5.48416667;100
2023;19.729;0.6258333;44.0608;5.6883333;135
